orderID,orderDate,articleID,colorCode,sizeCode,productGroup,quantity,price,voucherID,voucherAmount,customerID,deviceID,paymentMethod,rrp,returnQuantity,,
a1314734,2014-10-10,i1000397,1018,34,3,1,"17,99",v1000237,"31,34",c1195969,2,BPRG,"17,99","0,0",,
a1654864,2015-07-19,i1000337,1077,44,3,1,"20,0",0,"0,0",c1052266,3,BPRG,"29,99","1,0",,
a1695524,2015-08-22,i1003768,1001,32,1,1,"35,0",0,"0,0",c1307398,2,BPRG,"49,99","1,0",,
a1150811,2014-05-23,i1002107,1953,42,9,1,"59,99",0,"0,0",c1007728,3,BPRG,"59,99","1,0",,
a1695531,2015-08-22,i1001441,2001,42,5,1,"69,99",0,"0,0",c1187614,2,BPRG,"69,99","1,0",,
a1314741,2014-10-10,i1003791,1769,44,1,1,"69,99",0,"0,0",c1036137,2,BPRG,"69,99","1,0",,
a1150811,2014-05-23,i1003718,1003,42,1,1,"69,99",0,"0,0",c1007728,3,BPRG,"69,99","1,0",,
a1614100,2015-06-18,i1000632,1077,38,3,1,"15,0",0,"0,0",c1284140,5,CBA,"29,99","0,0",,
a1270549,2014-08-29,i1000428,1927,34,3,1,"39,99",0,"0,0",c1070449,2,BPRG,"39,99","0,0",,
a1357935,2014-11-14,i1000403,2493,42,3,1,"39,99",0,"0,0",c1208510,2,BPRG,"39,99","1,0",,
a1230117,2014-07-24,i1002051,3961,40,8,1,"20,0",v1000166,"10,0",c1169880,4,BPRG,"39,99","1,0",,
a1446513,2015-02-12,i1002207,1001,38,9,1,"20,0",0,"0,0",c1234954,4,BPRG,"29,99","1,0",,
a1357937,2014-11-14,i1000437,1056,38,3,1,"19,99",0,"0,0",c1189103,2,PAYPALVC,"19,99","0,0",,
a1189490,2014-06-20,i1000793,1001,40,3,1,"25,0",0,"0,0",c1156991,2,BPRG,"35,99","0,0",,
a1150820,2014-05-23,i1002329,3003,44,13,1,"59,99",0,"0,0",c1143401,4,BPRG,"59,99","0,0",,
a1150822,2014-05-23,i1000615,1000,38,3,2,"10,0",0,"0,0",c1143407,2,BPRG,"19,99","0,0",,
